KO,Gene
ko:K00969,BareSoil-3.bin.4-k141_3964394_12
ko:K13979,BareSoil-3.bin.4-k141_3925067_1
ko:K06910,BareSoil-3.bin.4-k141_3481471_4
ko:K00820,BareSoil-3.bin.4-k141_23878_2
ko:K07263,BareSoil-3.bin.4-k141_2782767_1
ko:K02377,BareSoil-3.bin.4-k141_2317101_1
ko:K09690,BareSoil-3.bin.4-k141_2317101_2
ko:K10012,BareSoil-3.bin.4-k141_2317101_4
ko:K09136,BareSoil-3.bin.4-k141_1554507_3
ko:K07798,BareSoil-3.bin.4-k141_1999349_2
ko:K09117,BareSoil-3.bin.4-k141_437364_1
ko:K11754,BareSoil-3.bin.4-k141_437364_9
ko:K15532,BareSoil-3.bin.4-k141_2597564_7
ko:K00619,BareSoil-3.bin.4-k141_1105681_4
ko:K17837,BareSoil-3.bin.4-k141_3932608_2
ko:K07164,BareSoil-3.bin.4-k141_1839719_4
ko:K17837,BareSoil-3.bin.4-k141_1839719_6
ko:K04103,BareSoil-3.bin.4-k141_2518783_3
ko:K04110,BareSoil-3.bin.4-k141_2519471_1
ko:K01007,BareSoil-3.bin.4-k141_3743586_3
ko:K07263,BareSoil-3.bin.4-k141_1679742_4
ko:K03529,BareSoil-3.bin.4-k141_1624269_9
ko:K17837,BareSoil-3.bin.4-k141_2004724_4
ko:K02280,BareSoil-3.bin.4-k141_3084222_9
ko:K09690,BareSoil-3.bin.4-k141_2069076_2
ko:K21472,BareSoil-3.bin.4-k141_1363454_5
ko:K17723,BareSoil-3.bin.4-k141_1114991_8
ko:K16786,BareSoil-3.bin.4-k141_2888372_2
ko:K16787,BareSoil-3.bin.4-k141_2888372_2
ko:K07588,BareSoil-3.bin.4-k141_1364927_1
ko:K00311,BareSoil-3.bin.4-k141_295177_1
ko:K02477,BareSoil-3.bin.4-k141_1116535_4
ko:K20951,BareSoil-3.bin.4-k141_986120_2
ko:K02835,BareSoil-3.bin.4-k141_1177300_4
ko:K16011,BareSoil-3.bin.4-k141_3280575_2
ko:K15792,BareSoil-3.bin.4-k141_552718_3
ko:K02841,BareSoil-3.bin.4-k141_3281795_1
ko:K10553,BareSoil-3.bin.4-k141_1751573_2
ko:K10439,BareSoil-3.bin.4-k141_1751573_3
ko:K00782,BareSoil-3.bin.4-k141_1751573_5
ko:K00748,BareSoil-3.bin.4-k141_101583_2
ko:K06920,BareSoil-3.bin.4-k141_2404486_11
ko:K01007,BareSoil-3.bin.4-k141_490289_2
ko:K13479,BareSoil-3.bin.4-k141_3532419_3
ko:K09990,BareSoil-3.bin.4-k141_939789_3
ko:K10771,BareSoil-3.bin.4-k141_2207194_5
ko:K03529,BareSoil-3.bin.4-k141_2408199_1
ko:K07263,BareSoil-3.bin.4-k141_561870_1
ko:K13829,BareSoil-3.bin.4-k141_1188190_2
ko:K02847,BareSoil-3.bin.4-k141_946201_4
ko:K03328,BareSoil-3.bin.4-k141_946201_5
ko:K03328,BareSoil-3.bin.4-k141_946201_8
ko:K07037,BareSoil-3.bin.4-k141_3293687_1
ko:K10012,BareSoil-3.bin.4-k141_2906222_1
ko:K07588,BareSoil-3.bin.4-k141_2720049_1
ko:K07263,BareSoil-3.bin.4-k141_4049495_5
ko:K01501,BareSoil-3.bin.4-k141_4049708_2
ko:K07478,BareSoil-3.bin.4-k141_3295642_2
ko:K17837,BareSoil-3.bin.4-k141_1649311_4
ko:K01077,BareSoil-3.bin.4-k141_1007416_5
ko:K16329,BareSoil-3.bin.4-k141_1194614_8
ko:K00762,BareSoil-3.bin.4-k141_886113_4
ko:K18652,BareSoil-3.bin.4-k141_1198524_4
ko:K02477,BareSoil-3.bin.4-k141_3549463_7
ko:K00500,BareSoil-3.bin.4-k141_3552049_4
ko:K03980,BareSoil-3.bin.4-k141_3173074_4
ko:K09690,BareSoil-3.bin.5-k141_3428515_3
ko:K00505,BareSoil-3.bin.5-k141_3682558_38
ko:K06921,BareSoil-3.bin.5-k141_3682558_41
ko:K15257,BareSoil-3.bin.5-k141_3682558_56
ko:K09880,BareSoil-3.bin.5-k141_1016256_3
ko:K06990,BareSoil-3.bin.5-k141_318835_8
ko:K06990,BareSoil-3.bin.5-k141_318835_9
ko:K02113,BareSoil-3.bin.5-k141_318835_24
ko:K17760,BareSoil-3.bin.5-k141_3620928_8
ko:K06919,BareSoil-3.bin.5-k141_320007_8
ko:K14652,BareSoil-3.bin.5-k141_1780438_25
ko:K00820,BareSoil-3.bin.5-k141_826747_2
ko:K07263,BareSoil-3.bin.5-k141_2352975_18
ko:K02299,BareSoil-3.bin.5-k141_575892_6
ko:K00311,BareSoil-3.bin.5-k141_575892_30
ko:K02450,BareSoil-3.bin.5-k141_1843901_2
ko:K02895,BareSoil-3.bin.5-k141_3560660_6
ko:K00939,BareSoil-3.bin.5-k141_3560660_16
ko:K00969,BareSoil-3.bin.5-k141_3560660_29
ko:K09710,BareSoil-3.bin.5-k141_3560660_30
ko:K07478,BareSoil-3.bin.5-k141_3560660_42
ko:K03529,BareSoil-3.bin.5-k141_3560660_53
ko:K07263,BareSoil-3.bin.5-k141_2688_8
ko:K02280,BareSoil-3.bin.5-k141_1466373_14
ko:K02278,BareSoil-3.bin.5-k141_1466373_16
ko:K09930,BareSoil-3.bin.5-k141_3625804_21
ko:K15866,BareSoil-3.bin.5-k141_3625804_23
ko:K00575,BareSoil-3.bin.5-k141_1145897_11
ko:K07164,BareSoil-3.bin.5-k141_3181743_10
ko:K09810,BareSoil-3.bin.5-k141_3181743_29
ko:K02619,BareSoil-3.bin.5-k141_1467229_4
ko:K01665,BareSoil-3.bin.5-k141_1467229_5
ko:K04041,BareSoil-3.bin.5-k141_66842_7
ko:K06872,BareSoil-3.bin.5-k141_1405825_14
ko:K01628,BareSoil-3.bin.5-k141_1405825_23
ko:K04042,BareSoil-3.bin.5-k141_1405825_42
ko:K11528,BareSoil-3.bin.5-k141_1405825_42
ko:K00820,BareSoil-3.bin.5-k141_1405825_43
ko:K06861,BareSoil-3.bin.5-k141_1146993_19
ko:K18581,BareSoil-3.bin.5-k141_1914877_3
ko:K00285,BareSoil-3.bin.5-k141_2989739_13
ko:K00762,BareSoil-3.bin.5-k141_2613952_20
ko:K01191,BareSoil-3.bin.5-k141_1719060_20
ko:K04065,BareSoil-3.bin.5-k141_2550601_5
ko:K02453,BareSoil-3.bin.5-k141_3377214_2
ko:K00027,BareSoil-3.bin.5-k141_2482819_5
ko:K10012,BareSoil-3.bin.5-k141_4005312_2
ko:K16870,BareSoil-3.bin.5-k141_4005312_10
ko:K09690,BareSoil-3.bin.5-k141_4005312_16
ko:K02477,BareSoil-3.bin.5-k141_2743091_24
ko:K20628,BareSoil-3.bin.5-k141_2743091_34
ko:K01755,BareSoil-3.bin.5-k141_648631_12
ko:K00928,BareSoil-3.bin.5-k141_1976283_10
ko:K13954,BareSoil-3.bin.5-k141_1720653_14
ko:K08092,BareSoil-3.bin.5-k141_1531933_2
ko:K02668,BareSoil-3.bin.5-k141_1531933_14
ko:K00265,BareSoil-3.bin.5-k141_832227_1
ko:K16137,BareSoil-3.bin.5-k141_707051_3
ko:K07140,BareSoil-3.bin.5-k141_707051_15
ko:K02841,BareSoil-3.bin.5-k141_3637200_14
ko:K02847,BareSoil-3.bin.5-k141_3637200_14
ko:K02849,BareSoil-3.bin.5-k141_3637200_14
ko:K01609,BareSoil-3.bin.5-k141_2041692_8
ko:K01817,BareSoil-3.bin.5-k141_2041692_9
ko:K09927,BareSoil-3.bin.5-k141_1979222_4
ko:K06920,BareSoil-3.bin.5-k141_1979222_13
ko:K01628,BareSoil-3.bin.5-k141_3500865_5
ko:K00782,BareSoil-3.bin.5-k141_3500865_8
ko:K01399,BareSoil-3.bin.5-k141_519725_7
ko:K08604,BareSoil-3.bin.5-k141_519725_7
ko:K01007,BareSoil-3.bin.5-k141_3322382_3
ko:K00575,BareSoil-3.bin.5-k141_2805069_22
ko:K00383,BareSoil-3.bin.5-k141_2805069_24
ko:K01728,BareSoil-3.bin.5-k141_1855421_14
ko:K08604,BareSoil-3.bin.5-k141_1535978_10
ko:K02356,BareSoil-3.bin.5-k141_1535978_15
ko:K06919,BareSoil-3.bin.5-k141_1535978_33
ko:K01239,BareSoil-3.bin.5-k141_1535978_36
ko:K00762,BareSoil-3.bin.5-k141_962267_11
ko:K06187,BareSoil-3.bin.5-k141_962267_12
ko:K04065,BareSoil-3.bin.5-k141_341343_11
ko:K20951,BareSoil-3.bin.5-k141_2933604_2
ko:K08999,BareSoil-3.bin.5-k141_2997596_14
ko:K00789,BareSoil-3.bin.5-k141_2997596_18
ko:K01356,BareSoil-3.bin.5-k141_2754379_5
ko:K02517,BareSoil-3.bin.5-k141_1725938_2
ko:K05802,BareSoil-3.bin.5-k141_1725938_14
ko:K00294,BareSoil-3.bin.5-k141_407757_11
ko:K02377,BareSoil-3.bin.5-k141_777976_6
ko:K16092,BareSoil-3.bin.5-k141_777976_16
ko:K03154,BareSoil-3.bin.5-k141_778045_14
ko:K02835,BareSoil-3.bin.5-k141_3458723_11
ko:K02477,BareSoil-3.bin.5-k141_3458723_17
ko:K00108,BareSoil-3.bin.5-k141_3458723_26
ko:K15532,BareSoil-3.bin.5-k141_3458723_33
ko:K04066,BareSoil-3.bin.5-k141_409705_4
ko:K08963,BareSoil-3.bin.5-k141_409705_14
ko:K07560,BareSoil-3.bin.5-k141_409705_19
ko:K13588,BareSoil-3.bin.5-k141_1984446_3
ko:K06919,BareSoil-3.bin.5-k141_1984446_5
ko:K01918,BareSoil-3.bin.5-k141_1984446_30
ko:K04108,BareSoil-3.bin.5-k141_1984446_34
ko:K08151,BareSoil-3.bin.5-k141_3762502_23
ko:K00809,BareSoil-3.bin.5-k141_1985536_3
ko:K06199,BareSoil-3.bin.5-k141_1496178_1
ko:K09862,BareSoil-3.bin.5-k141_1226869_4
ko:K13015,BareSoil-3.bin.5-k141_609521_20
ko:K00066,BareSoil-3.bin.5-k141_3005619_8
ko:K07263,BareSoil-3.bin.5-k141_3957506_22
ko:K07263,BareSoil-3.bin.5-k141_3957506_23
ko:K01113,BareSoil-3.bin.5-k141_2054196_10
ko:K02477,BareSoil-3.bin.5-k141_231477_21
ko:K05970,BareSoil-3.bin.5-k141_970660_2
ko:K18581,BareSoil-3.bin.5-k141_2501052_1
ko:K02113,BareSoil-3.bin.5-k141_3129653_2
ko:K00575,BareSoil-3.bin.5-k141_1230331_1
ko:K03802,BareSoil-3.bin.5-k141_1230331_7
ko:K07559,BareSoil-3.bin.5-k141_1230331_14
ko:K02450,BareSoil-3.bin.5-k141_1230331_27
ko:K00575,BareSoil-3.bin.5-k141_1230331_29
ko:K07588,BareSoil-3.bin.5-k141_1098401_2
ko:K02841,BareSoil-3.bin.5-k141_2944424_11
ko:K02849,BareSoil-3.bin.5-k141_2944424_11
ko:K07447,BareSoil-3.bin.5-k141_3219684_2
ko:K06919,BareSoil-3.bin.5-k141_722718_9
ko:K00343,BareSoil-3.bin.5-k141_3598053_16
ko:K14605,BareSoil-3.bin.5-k141_1315144_4
ko:K02356,BareSoil-3.bin.5-k141_3223305_4
ko:K01817,BareSoil-3.bin.5-k141_1882419_9
ko:K17837,BareSoil-3.bin.5-k141_1882419_12
ko:K07486,BareSoil-3.bin.5-k141_280869_6
ko:K07318,BareSoil-3.bin.5-k141_685182_2
ko:K09810,BareSoil-3.bin.5-k141_2652905_21
ko:K01214,BareSoil-3.bin.5-k141_2652905_37
ko:K15866,BareSoil-3.bin.5-k141_2652905_45
ko:K04110,BareSoil-3.bin.5-k141_2652905_62
ko:K01637,BareSoil-3.bin.5-k141_2652905_65
ko:K05970,BareSoil-3.bin.5-k141_3730434_11
ko:K18581,BareSoil-3.bin.5-k141_3076142_13
ko:K00797,BareSoil-3.bin.5-k141_3670508_7
ko:K00797,BareSoil-3.bin.5-k141_3670508_12
ko:K01151,BareSoil-3.bin.5-k141_727116_8
ko:K02477,BareSoil-3.bin.5-k141_3926140_8
ko:K06962,BareSoil-3.bin.5-k141_3735953_15
ko:K09955,BareSoil-3.bin.5-k141_475788_15
ko:K17723,BareSoil-3.bin.5-k141_694357_2
ko:K17722,BareSoil-3.bin.5-k141_694357_5
ko:K02029,BareSoil-3.bin.5-k141_694357_21
ko:K10004,BareSoil-3.bin.5-k141_694357_22
ko:K00928,BareSoil-3.bin.5-k141_2190760_1
ko:K00872,BareSoil-3.bin.5-k141_2190760_3
ko:K06976,BareSoil-3.bin.5-k141_3777891_9
ko:K13829,BareSoil-3.bin.5-k141_3777891_11
ko:K01147,BareSoil-3.bin.5-k141_2000336_7
ko:K02450,BareSoil-3.bin.5-k141_2000336_31
ko:K07577,BareSoil-3.bin.5-k141_1895509_12
ko:K07037,BareSoil-3.bin.5-k141_3271391_4
ko:K07588,BareSoil-3.bin.5-k141_3271391_16
ko:K15257,BareSoil-3.bin.5-k141_3427125_5
ko:K00786,BareSoil-3.bin.5-k141_3836440_3
ko:K03466,BareSoil-3.bin.5-k141_732372_26
ko:K10439,BareSoil-3.bin.5-k141_3519667_31
ko:K10439,BareSoil-3.bin.5-k141_3519667_32
ko:K01191,BareSoil-3.bin.5-k141_3519667_35
ko:K00876,BareSoil-3.bin.5-k141_2884963_10
ko:K02057,BareSoil-3.bin.5-k141_2884963_14
ko:K02057,BareSoil-3.bin.5-k141_2884963_15
ko:K07066,BareSoil-3.bin.5-k141_1523399_6
ko:K00945,BareSoil-3.bin.5-k141_3610064_12
ko:K14652,BareSoil-3.bin.5-k141_3610064_15
ko:K13479,BareSoil-3.bin.5-k141_2068496_3
ko:K07263,BareSoil-3.bin.5-k141_2068496_12
ko:K07263,BareSoil-3.bin.5-k141_2068496_13
ko:K01728,BareSoil-3.bin.5-k141_3139748_46
ko:K01868,BareSoil-3.bin.5-k141_3021742_7
ko:K02453,BareSoil-3.bin.5-k141_801318_17
ko:K00748,BareSoil-3.bin.5-k141_3277826_6
ko:K13281,BareSoil-3.bin.5-k141_3615499_19
ko:K06901,BareSoil-3.bin.5-k141_3615499_31
ko:K07263,BareSoil-3.bin.5-k141_2008897_2
ko:K00809,BareSoil-3.bin.5-k141_2008897_6
ko:K14652,BareSoil-3.bin.5-k141_550244_2
ko:K21567,BareSoil-3.bin.5-k141_3526469_18
ko:K21703,BareSoil-3.bin.5-k141_1569908_11
ko:K01790,BareSoil-3.bin.5-k141_865804_39
ko:K09690,BareSoil-3.bin.5-k141_865804_50
ko:K00625,BareSoil-3.bin.5-k141_865804_69
ko:K03366,BareSoil-3.bin.5-k141_1254806_7
ko:K02459,BareSoil-3.bin.5-k141_305909_20
ko:K03980,BareSoil-3.bin.5-k141_305909_23
ko:K08316,BareSoil-3.bin.5-k141_305909_33
ko:K09690,BareSoil-3.bin.5-k141_869101_10
ko:K10012,BareSoil-3.bin.5-k141_869101_11
ko:K10553,BareSoil-3.bin.5-k141_1059210_8
ko:K10439,BareSoil-3.bin.5-k141_1059210_10
ko:K08641,BareSoil-3.bin.5-k141_3035478_2
ko:K20498,BareSoil-3.bin.5-k141_3035478_4
ko:K04567,BareSoil-3.bin.5-k141_3802752_7
ko:K11754,BareSoil-3.bin.5-k141_1584318_3
ko:K07056,BareSoil-3.bin.5-k141_2342979_36
ko:K07263,BareSoil-3.bin.5-k141_3043608_1
ko:K18581,BareSoil-3.bin.5-k141_1384940_7
ko:K03735,BareSoil-3.bin.5-k141_1384940_15
ko:K17837,BareSoil-3.bin.5-k141_2218542_32
ko:K09117,BareSoil-3.bin.5-k141_2218542_33
ko:K00343,BareSoil-3.bin.5-k141_2346628_1
ko:K07263,BareSoil-3.bin.5-k141_117664_2
ko:K21472,BareSoil-3.bin.5-k141_3045770_22
ko:K02450,BareSoil-3.bin.5-k141_4059127_7
ko:K06872,BareSoil-3.bin.5-k141_1711284_14
ko:K06865,BareSoil-3.bin.6-k141_3747372_8
ko:K00294,BareSoil-3.bin.6-k141_3304659_1
ko:K00789,BareSoil-3.bin.6-k141_3239895_2
ko:K04482,BareSoil-3.bin.6-k141_3239895_4
ko:K03529,BareSoil-3.bin.6-k141_3239895_76
ko:K02302,BareSoil-3.bin.6-k141_194941_8
ko:K02303,BareSoil-3.bin.6-k141_194941_8
ko:K06872,BareSoil-3.bin.6-k141_194941_36
ko:K01194,BareSoil-3.bin.6-k141_954769_3
ko:K01755,BareSoil-3.bin.6-k141_4528_26
ko:K08963,BareSoil-3.bin.6-k141_1529377_16
ko:K02472,BareSoil-3.bin.6-k141_1529377_17
ko:K11936,BareSoil-3.bin.6-k141_2037878_15
ko:K09136,BareSoil-3.bin.6-k141_2038843_19
ko:K00945,BareSoil-3.bin.6-k141_2038843_36
ko:K00939,BareSoil-3.bin.6-k141_2038843_38
ko:K00528,BareSoil-3.bin.6-k141_1339862_3
ko:K02427,BareSoil-3.bin.6-k141_2673597_16
ko:K07588,BareSoil-3.bin.6-k141_3571835_4
ko:K00928,BareSoil-3.bin.6-k141_3754957_9
ko:K01194,BareSoil-3.bin.6-k141_1414387_9
ko:K06920,BareSoil-3.bin.6-k141_1414387_22
ko:K22223,BareSoil-3.bin.6-k141_338553_46
ko:K18912,BareSoil-3.bin.6-k141_2170371_1
ko:K02233,BareSoil-3.bin.6-k141_2170371_19
ko:K00294,BareSoil-3.bin.6-k141_3453177_5
ko:K00027,BareSoil-3.bin.6-k141_1420970_23
ko:K07577,BareSoil-3.bin.6-k141_1420970_26
ko:K00872,BareSoil-3.bin.6-k141_3950566_5
ko:K00505,BareSoil-3.bin.6-k141_3951151_45
ko:K07577,BareSoil-3.bin.6-k141_2631667_9
ko:K01194,BareSoil-3.bin.6-k141_3822074_3
ko:K16011,BareSoil-3.bin.6-k141_3712600_6
ko:K02895,BareSoil-3.bin.6-k141_2239737_27
ko:K07575,BareSoil-3.bin.6-k141_2239737_52
ko:K01790,BareSoil-3.bin.6-k141_352332_57
ko:K00809,BareSoil-3.bin.6-k141_352332_63
ko:K00809,BareSoil-3.bin.6-k141_352332_64
ko:K00793,BareSoil-3.bin.6-k141_2765708_1
ko:K00528,BareSoil-3.bin.6-k141_1434807_7
ko:K13280,BareSoil-3.bin.6-k141_1434807_14
ko:K01755,BareSoil-3.bin.6-k141_3007919_1
ko:K02322,BareSoil-3.bin.6-k141_279463_5
ko:K00928,BareSoil-3.bin.6-k141_279463_39
ko:K06920,BareSoil-3.bin.6-k141_2585882_2
ko:K03658,BareSoil-3.bin.6-k141_1952576_3
ko:K03658,BareSoil-3.bin.6-k141_1952576_4
ko:K06990,BareSoil-3.bin.6-k141_1551499_37
ko:K01239,BareSoil-3.bin.6-k141_1239464_14
ko:K00945,BareSoil-3.bin.6-k141_3741866_6
ko:K02472,BareSoil-3.bin.6-k141_2391106_2
ko:K01628,BareSoil-3.bin.6-k141_2391106_9
ko:K01151,BareSoil-3.bin.6-k141_2391106_34
ko:K02188,BareSoil-3.bin.6-k141_480652_2
ko:K00505,BareSoil-3.bin.6-k141_3276081_8
ko:K00820,BareSoil-3.bin.6-k141_3615229_6
ko:K01609,BareSoil-3.bin.6-k141_3843056_12
ko:K17723,BareSoil-3.bin.6-k141_2009032_18
ko:K16011,BareSoil-3.bin.6-k141_2009032_20
ko:K09810,BareSoil-3.bin.6-k141_2009032_50
ko:K00027,BareSoil-3.bin.6-k141_2009032_71
ko:K08999,BareSoil-3.bin.6-k141_2009032_85
ko:K01079,BareSoil-3.bin.6-k141_2009032_88
ko:K06937,BareSoil-3.bin.6-k141_39812_3
ko:K09123,BareSoil-3.bin.6-k141_1691946_26
ko:K02278,BareSoil-3.bin.6-k141_1691946_37
ko:K01560,BareSoil-3.bin.6-k141_1691946_43
ko:K00762,BareSoil-3.bin.6-k141_2207070_3
ko:K01028,BareSoil-3.bin.6-k141_1693657_1
ko:K01868,BareSoil-3.bin.6-k141_2340858_1
ko:K07346,BareSoil-3.bin.7-k141_2349139_1
ko:K02835,BareSoil-3.bin.7-k141_2477502_1
ko:K08990,BareSoil-3.bin.7-k141_510096_2
ko:K02444,BareSoil-3.bin.7-k141_1782113_2
ko:K02057,BareSoil-3.bin.7-k141_3240598_5
ko:K00782,BareSoil-3.bin.7-k141_1526784_1
ko:K00654,BareSoil-3.bin.7-k141_1910726_2
ko:K03466,BareSoil-3.bin.7-k141_2546951_3
ko:K02339,BareSoil-3.bin.7-k141_1528974_3
ko:K14161,BareSoil-3.bin.7-k141_3691904_7
ko:K17675,BareSoil-3.bin.7-k141_1720108_4
ko:K01628,BareSoil-3.bin.7-k141_706072_3
ko:K09967,BareSoil-3.bin.7-k141_3192643_3
ko:K02053,BareSoil-3.bin.7-k141_1477853_5
ko:K02280,BareSoil-3.bin.7-k141_1658580_1
ko:K02113,BareSoil-3.bin.7-k141_3756849_4
ko:K04066,BareSoil-3.bin.7-k141_3756849_5
ko:K21825,BareSoil-3.bin.7-k141_400894_6
ko:K13788,BareSoil-3.bin.7-k141_2368473_5
ko:K09967,BareSoil-3.bin.7-k141_2116624_3
ko:K03786,BareSoil-3.bin.7-k141_774273_3
ko:K00046,BareSoil-3.bin.7-k141_2626413_4
ko:K01487,BareSoil-3.bin.7-k141_1485003_2
ko:K10439,BareSoil-3.bin.7-k141_2121009_1
ko:K01077,BareSoil-3.bin.7-k141_2760570_5
ko:K01918,BareSoil-3.bin.7-k141_2375074_3
ko:K07126,BareSoil-3.bin.7-k141_414220_2
ko:K10439,BareSoil-3.bin.7-k141_2051569_1
ko:K00108,BareSoil-3.bin.7-k141_2682869_1
ko:K00046,BareSoil-3.bin.7-k141_2767690_5
ko:K13643,BareSoil-3.bin.7-k141_842175_2
ko:K01920,BareSoil-3.bin.7-k141_783538_1
ko:K07056,BareSoil-3.bin.7-k141_783538_3
ko:K13588,BareSoil-3.bin.7-k141_3259652_15
ko:K03980,BareSoil-3.bin.7-k141_2771390_2
ko:K00789,BareSoil-3.bin.7-k141_2771390_15
ko:K07020,BareSoil-3.bin.7-k141_2685159_4
ko:K02431,BareSoil-3.bin.7-k141_19477_4
ko:K01447,BareSoil-3.bin.7-k141_3349953_8
ko:K03806,BareSoil-3.bin.7-k141_3349953_8
ko:K02356,BareSoil-3.bin.7-k141_3478156_1
ko:K00294,BareSoil-3.bin.7-k141_2249580_1
ko:K15257,BareSoil-3.bin.7-k141_1509675_3
ko:K00820,BareSoil-3.bin.7-k141_2590127_1
ko:K04042,BareSoil-3.bin.7-k141_2590127_2
ko:K00285,BareSoil-3.bin.7-k141_1319541_2
ko:K01356,BareSoil-3.bin.7-k141_370190_3
ko:K02057,BareSoil-3.bin.7-k141_3832955_2
ko:K02057,BareSoil-3.bin.7-k141_3832955_3
ko:K02233,BareSoil-3.bin.7-k141_3735421_5
ko:K06720,BareSoil-3.bin.7-k141_1674919_3
ko:K16329,BareSoil-3.bin.7-k141_3484701_2
ko:K02895,BareSoil-3.bin.7-k141_1675896_14
ko:K02057,BareSoil-3.bin.7-k141_694214_1
ko:K02057,BareSoil-3.bin.7-k141_694214_2
ko:K13485,BareSoil-3.bin.7-k141_694214_5
ko:K01487,BareSoil-3.bin.7-k141_694214_6
ko:K00343,BareSoil-3.bin.7-k141_2691935_3
ko:K11070,BareSoil-3.bin.7-k141_1740156_5
ko:K02021,BareSoil-3.bin.7-k141_3361948_1
ko:K11070,BareSoil-3.bin.7-k141_1896594_2
ko:K11070,BareSoil-3.bin.7-k141_1170826_7
ko:K11754,BareSoil-3.bin.7-k141_802292_3
ko:K07126,BareSoil-3.bin.7-k141_2959560_7
ko:K08304,BareSoil-3.bin.7-k141_1684104_2
ko:K19746,BareSoil-3.bin.7-k141_930912_2
ko:K00820,BareSoil-3.bin.7-k141_740012_1
ko:K09159,BareSoil-3.bin.7-k141_740012_4
ko:K00265,BareSoil-3.bin.7-k141_805787_6
ko:K13481,BareSoil-3.bin.7-k141_2010526_3
ko:K12372,BareSoil-3.bin.7-k141_3031076_3
ko:K02029,BareSoil-3.bin.7-k141_3983939_4
ko:K02029,BareSoil-3.bin.7-k141_3983939_5
ko:K11070,BareSoil-3.bin.7-k141_2335404_3
ko:K01879,BareSoil-3.bin.7-k141_3800976_2
ko:K00285,BareSoil-3.bin.7-k141_943963_1
ko:K07263,BareSoil-3.bin.7-k141_1187832_5
ko:K13829,BareSoil-3.bin.7-k141_2902282_2
ko:K09883,BareSoil-3.bin.7-k141_2902282_7
ko:K13638,BareSoil-3.bin.7-k141_3099892_2
ko:K00310,BareSoil-3.bin.7-k141_2903281_10
ko:K02053,BareSoil-3.bin.7-k141_2903281_13
ko:K00793,BareSoil-3.bin.7-k141_878038_6
ko:K06861,BareSoil-3.bin.7-k141_2976767_5
ko:K01755,BareSoil-3.bin.7-k141_1705582_2
ko:K10439,BareSoil-3.bin.7-k141_2284932_7
ko:K03635,BareSoil-3.bin.7-k141_2030969_5
ko:K07126,BareSoil-3.bin.7-k141_1709928_7
ko:K13582,BareSoil-3.bin.7-k141_1709928_7
ko:K03328,BareSoil-3.bin.9-k141_3429588_3
ko:K08223,BareSoil-3.bin.9-k141_3620179_1
ko:K00163,BareSoil-3.bin.9-k141_636457_1
ko:K08963,BareSoil-3.bin.9-k141_2413812_3
ko:K00793,BareSoil-3.bin.9-k141_953395_1
ko:K14652,BareSoil-3.bin.9-k141_953395_3
ko:K10697,BareSoil-3.bin.9-k141_3621477_2
ko:K02453,BareSoil-3.bin.9-k141_3112158_1
ko:K00789,BareSoil-3.bin.9-k141_3558582_2
ko:K03802,BareSoil-3.bin.9-k141_1465612_3
ko:K07486,BareSoil-3.bin.9-k141_448160_8
ko:K07486,BareSoil-3.bin.9-k141_448160_10
ko:K17837,BareSoil-3.bin.9-k141_257798_2
ko:K00762,BareSoil-3.bin.9-k141_257798_3
ko:K15257,BareSoil-3.bin.9-k141_2356295_2
ko:K02450,BareSoil-3.bin.9-k141_702168_2
ko:K00945,BareSoil-3.bin.9-k141_1336674_3
ko:K00793,BareSoil-3.bin.9-k141_1336674_4
ko:K02302,BareSoil-3.bin.9-k141_581160_3
ko:K02303,BareSoil-3.bin.9-k141_581160_3
ko:K03404,BareSoil-3.bin.9-k141_3375019_4
ko:K00797,BareSoil-3.bin.9-k141_3439481_1
ko:K06282,BareSoil-3.bin.9-k141_895001_2
ko:K01628,BareSoil-3.bin.9-k141_2106304_3
ko:K09930,BareSoil-3.bin.9-k141_3752224_7
ko:K18122,BareSoil-3.bin.9-k141_1338737_6
ko:K07560,BareSoil-3.bin.9-k141_3814663_3
ko:K06872,BareSoil-3.bin.9-k141_585527_2
ko:K04065,BareSoil-3.bin.9-k141_2801093_2
ko:K01113,BareSoil-3.bin.9-k141_2991621_1
ko:K11754,BareSoil-3.bin.9-k141_3753756_1
ko:K01356,BareSoil-3.bin.9-k141_3633452_6
ko:K01755,BareSoil-3.bin.9-k141_3498618_2
ko:K03466,BareSoil-3.bin.9-k141_3246081_4
ko:K02835,BareSoil-3.bin.9-k141_586836_2
ko:K02453,BareSoil-3.bin.9-k141_3570732_3
ko:K00797,BareSoil-3.bin.9-k141_1411794_1
ko:K07000,BareSoil-3.bin.9-k141_3444489_1
ko:K06324,BareSoil-3.bin.9-k141_206013_2
ko:K00820,BareSoil-3.bin.9-k141_588626_1
ko:K04042,BareSoil-3.bin.9-k141_588626_2
ko:K18912,BareSoil-3.bin.9-k141_3889653_3
ko:K00748,BareSoil-3.bin.9-k141_833115_2
ko:K17837,BareSoil-3.bin.9-k141_3319342_2
ko:K07056,BareSoil-3.bin.9-k141_960852_1
ko:K03529,BareSoil-3.bin.9-k141_960852_4
ko:K04065,BareSoil-3.bin.9-k141_3248992_2
ko:K04655,BareSoil-3.bin.9-k141_1342329_1
ko:K07478,BareSoil-3.bin.9-k141_1289649_1
ko:K13015,BareSoil-3.bin.9-k141_2042839_4
ko:K02083,BareSoil-3.bin.9-k141_401358_1
